,Unnamed: 0.1,Unnamed: 0,Time,Velocity,Acceleration,LongitudeGPS,LatitudeGPS,TrackID
0,0,7070,1615813118.2,101.86973164146868,-0.5270931298264081,-86.72315920000001,36.1118557,392.342478374215
5,5,7075,1615813118.7,101.53255095909408,-0.19,-86.7230907,36.1117365,395.0
10,10,7080,1615813119.2,101.5321614316339,0.19,-86.723023,36.1116188,395.0
15,15,7085,1615813119.7,102.00418756874696,0.39,-86.7229545,36.111502,391.0978841227772
20,20,7090,1615813120.2,102.49,0.39,-86.722886,36.1113848,395.0
25,25,7095,1615813120.7,102.87022961557736,0.5437751680960231,-86.72281770000001,36.111268,393.38305523999344
30,30,7100,1615813121.2,103.20162196846928,0.19,-86.72274920000001,36.11115220000001,390.4119407393463
35,35,7105,1615813121.7,103.59805555555556,0.235730543318649,-86.72268000000001,36.1110362,395.0
40,40,7110,1615813122.2,103.89731454755376,0.19,-86.72261,36.1109205,390.0
45,45,7115,1615813122.7,104.3186598515614,0.39,-86.7225388,36.1108047,390.0
50,50,7120,1615813123.2,104.97652164722965,0.78,-86.72246729999999,36.110688200000006,391.7569889801107
55,55,7125,1615813123.7,105.73356803475272,0.5838374843985767,-86.72239499999999,36.1105717,393.1811347844021
60,60,7130,1615813124.2,106.49065214388966,0.7209261694533158,-86.72232220000001,36.11045479999999,394.0
65,65,7135,1615813124.7,106.99287038944983,0.39,-86.7222483,36.1103382,394.0
70,70,7140,1615813125.2,107.23414441753036,0.3651211840888066,-86.72217370000001,36.1102208,394.0
75,75,7145,1615813125.7,107.43,0.19,-86.722098,36.1101032,393.2730024780225
80,80,7150,1615813126.2,107.53116643083764,0.0,-86.7220208,36.1099848,391.18777944976347
85,85,7155,1615813126.7,107.53594704609964,0.0,-86.7219423,36.109866700000005,393.4232326417757
90,90,7160,1615813127.2,107.40826054834264,0.0,-86.7218638,36.1097493,391.0
95,95,7165,1615813127.7,107.4191402582962,0.0,-86.7217837,36.1096337,391.0
100,100,7170,1615813128.2,107.22063277913225,-0.0650982642114274,-86.7217027,36.109515,391.0
105,105,7175,1615813128.7,106.95679025034872,-0.19,-86.721621,36.1093977,391.5572086080358
110,110,7180,1615813129.2,106.46961703179048,-0.39,-86.7215377,36.1092797,391.1879206218459
115,115,7185,1615813129.7,106.13726968339604,-0.2966008973507221,-86.72145350000001,36.1091617,392.3077739716332
120,120,7190,1615813130.2,105.72626565562685,-0.39,-86.721369,36.1090438,393.7176359084124
125,125,7195,1615813130.7,105.23891218245124,-0.59,-86.721284,36.1089265,394.0
130,130,7200,1615813131.2,104.80221405797631,-0.2809566383127366,-86.721199,36.1088095,391.2487144050909
135,135,7205,1615813131.7,104.32350039936102,-0.59,-86.721113,36.1086943,391.556864653987
140,140,7210,1615813132.2,103.79497415672992,-0.39,-86.72102579999999,36.1085795,394.0
145,145,7215,1615813132.7,103.3464548008382,-0.59,-86.72093819999999,36.1084657,391.0
150,150,7220,1615813133.2,102.88,-0.39,-86.7208493,36.1083532,394.0
155,155,7225,1615813133.7,102.49429386001157,-0.19,-86.7207595,36.1082418,393.2796616198527
160,160,7230,1615813134.2,102.66180625079636,0.056249143650816,-86.7206693,36.1081317,391.0
165,165,7235,1615813134.7,103.0158355835011,0.3128942220262861,-86.7205782,36.1080227,392.3002199686164
170,170,7240,1615813135.2,103.34653724365305,0.2118026852403427,-86.7204863,36.107915000000006,391.4218775406099
