,Unnamed: 0.1,Unnamed: 0,Time,Velocity,Acceleration,LongitudeGPS,LatitudeGPS,TrackID
0,0,9366,1615243863.5,38.95396907032394,0.3818298115464617,-86.72316529999999,36.11180170000001,390.0
5,5,9371,1615243864.0,39.12513050586469,0.0,-86.72314449999999,36.1117585,387.2663186415297
10,10,9376,1615243864.5,39.20702136194966,0.0,-86.72312020000001,36.1117118,393.0698713229941
15,15,9381,1615243865.0,39.34117714275097,0.0,-86.7230917,36.1116687,390.477539797228
20,20,9386,1615243865.5,39.4141552469335,0.0,-86.723066,36.1116247,394.0
25,25,9391,1615243866.0,39.380106546702976,-0.1571607529108564,-86.72304079999999,36.1115798,390.4079243096031
30,30,9396,1615243866.5,39.33789695284878,0.0,-86.723015,36.1115347,394.0
35,35,9401,1615243867.0,39.39387772677716,0.0,-86.7229883,36.11149,394.0
40,40,9406,1615243867.5,39.2842670469134,0.0,-86.722961,36.1114455,390.0
45,45,9411,1615243868.0,39.18609341787657,-0.19,-86.72293499999999,36.1114008,393.4972429844646
50,50,9416,1615243868.5,39.10124266736081,0.0,-86.7229083,36.1113567,394.0
55,55,9421,1615243869.0,39.00166844319776,-0.0581646571560055,-86.7228818,36.1113123,394.0
60,60,9426,1615243869.5,38.930390897412366,0.0,-86.7228557,36.111268,390.0
65,65,9431,1615243870.0,39.0041326578833,0.0,-86.7228293,36.1112237,390.4817899960645
70,70,9436,1615243870.5,39.06,0.0,-86.7228025,36.1111793,392.6226092978297
75,75,9441,1615243871.0,39.07681594383631,0.0,-86.7227757,36.1111352,390.0
80,80,9446,1615243871.5,39.14470589366777,0.0,-86.72274870000001,36.1110907,392.1610825950974
85,85,9451,1615243872.0,39.2677519819871,0.1220207477038021,-86.72272170000001,36.1110462,390.4813742784221
90,90,9456,1615243872.5,39.76688355228395,0.5328423109808232,-86.72269449999999,36.1110017,390.0
95,95,9461,1615243873.0,40.32419564123119,0.5400395355959573,-86.7226668,36.1109567,390.3150993047861
100,100,9466,1615243873.5,41.07,0.9066940528428716,-86.722639,36.110911,391.83731457447743
105,105,9471,1615243874.0,41.866800299737726,0.78,-86.722611,36.11086470000001,394.0
110,110,9476,1615243874.5,42.57324470219207,0.6801577435165537,-86.7225827,36.1108172,394.0
115,115,9481,1615243875.0,43.22475981299042,0.7664981359577046,-86.7225538,36.1107688,394.0
120,120,9486,1615243875.5,43.86,0.58,-86.7225247,36.1107197,390.0
125,125,9491,1615243876.0,44.45427078193813,0.4298278067775402,-86.722495,36.1106698,390.0
130,130,9496,1615243876.5,45.02146981231628,0.58,-86.722464,36.1106197,390.0
135,135,9501,1615243877.0,45.63,0.58,-86.7224323,36.1105688,390.0
140,140,9506,1615243877.5,46.22162880232115,0.58,-86.7224002,36.1105175,390.0
145,145,9511,1615243878.0,46.75726915943875,0.58,-86.7223673,36.1104655,393.7135982899323
150,150,9516,1615243878.5,47.2698258561533,0.5528999333369367,-86.7223342,36.110412700000005,391.7938487866328
