,Unnamed: 0.1,Unnamed: 0,Time,Velocity,Acceleration,LongitudeGPS,LatitudeGPS,TrackID
0,0,13826,1616072749.8,102.57220666141184,-0.5692994289311569,-86.7231633,36.1119138,384.0
5,5,13831,1616072750.3,102.05757075245576,-0.47216242006074,-86.7230965,36.1117945,384.0
10,10,13836,1616072750.8,101.5382438790121,-0.59,-86.7230235,36.1116752,393.0
15,15,13841,1616072751.3,101.06470969801084,-0.5893255206137762,-86.7229592,36.1115602,386.0383381385377
20,20,13846,1616072751.8,100.4459235984786,-0.59,-86.7228918,36.1114455,390.6819978986816
25,25,13851,1616072752.3,99.84744071137187,-0.59,-86.7228248,36.1113317,384.0
30,30,13856,1616072752.8,99.17520238727276,-0.39,-86.7227573,36.1112183,390.6801331488344
35,35,13861,1616072753.3,98.81523905989332,-0.19,-86.7226897,36.1111058,384.0
40,40,13866,1616072753.8,98.7279679245283,0.0,-86.722622,36.1109938,384.0
45,45,13871,1616072754.3,98.81626323077067,0.0,-86.7225538,36.1108823,384.0
50,50,13876,1616072754.8,98.86157924058568,0.0,-86.7224855,36.110771,384.0
55,55,13881,1616072755.3,98.85849869256631,0.0,-86.7224167,36.1106595,384.0
60,60,13886,1616072755.8,98.85480999899204,0.0,-86.722347,36.1105482,384.0
65,65,13891,1616072756.3,98.92356644267818,0.1833726927252985,-86.7222772,36.1104372,384.0
70,70,13896,1616072756.8,99.10722387416118,0.0,-86.7222065,36.1103262,384.0
75,75,13901,1616072757.3,99.33099982436518,0.0,-86.7221353,36.110215,384.0
80,80,13906,1616072757.8,99.56343768593528,0.0,-86.7220632,36.1101038,390.6867708108181
85,85,13911,1616072758.3,100.03281137992832,0.58,-86.7219902,36.10999279999999,386.32003795377454
90,90,13916,1616072758.8,100.22986867233249,0.2349322936165161,-86.7219165,36.1098817,388.3035367792229
95,95,13921,1616072759.3,100.53875901203432,0.2470018158094039,-86.72184229999999,36.1097708,387.0
100,100,13926,1616072759.8,100.7085447860901,0.1830755601126071,-86.72176929999999,36.109658,387.0
105,105,13931,1616072760.3,100.55303175788936,0.0,-86.72169699999999,36.1095472,387.0
110,110,13936,1616072760.8,100.40054793267473,0.0,-86.7216213,36.1094403,387.0
115,115,13941,1616072761.3,100.30696360995198,-0.0265799126637554,-86.72154429999999,36.1093298,392.0
120,120,13946,1616072761.8,100.0223371062592,-0.19,-86.7214665,36.1092198,390.7270634271159
125,125,13951,1616072762.3,99.82276351215224,-0.19,-86.7213873,36.1091107,392.0
130,130,13956,1616072762.8,99.87577486648104,0.0,-86.72130729999999,36.1090018,392.0
135,135,13961,1616072763.3,100.2672970709036,0.3879253748514016,-86.7212262,36.1088933,388.165814824334
140,140,13966,1616072763.8,100.58330123771552,0.1256854277905834,-86.72114479999999,36.108785,388.304481736521
145,145,13971,1616072764.3,100.86946580488345,0.3175274267780512,-86.72106219999999,36.1086767,392.0
150,150,13976,1616072764.8,101.14492439197348,0.5601377270500281,-86.7209777,36.108568700000006,387.4874217793872
155,155,13981,1616072765.3,101.15817131074152,0.0,-86.7208925,36.1084608,388.71629115252034
160,160,13986,1616072765.8,101.02909303178596,0.0,-86.72080679999999,36.1083537,387.5057022832654
165,165,13991,1616072766.3,100.7919069642222,-0.19,-86.7207207,36.108247,389.8436548666923
170,170,13996,1616072766.8,100.48216981218464,-0.19,-86.72063370000001,36.1081408,390.7319528135384
175,175,14001,1616072767.3,100.32724955742266,-0.1079731815283386,-86.7205463,36.1080353,392.0
180,180,14006,1616072767.8,100.0654726184037,-0.39,-86.72045820000001,36.1079307,390.6813897169741
185,185,14011,1616072768.3,99.9709533825316,0.0,-86.7203685,36.1078267,387.0
190,190,14016,1616072768.8,99.80802419316554,0.0,-86.72027729999999,36.1077238,387.0
195,195,14021,1616072769.3,99.64328486026554,0.0,-86.7201853,36.1076218,387.0
200,200,14026,1616072769.8,99.57146485587988,0.0,-86.7200922,36.1075208,387.0
205,205,14031,1616072770.3,99.69771434878992,0.0,-86.719998,36.107420700000006,387.0
210,210,14036,1616072770.8,99.89292557199302,0.39,-86.7199027,36.1073208,390.40559143480976
215,215,14041,1616072771.3,100.17383686193013,0.2311583817377573,-86.71980649999999,36.107221200000005,388.7156348021377
220,220,14046,1616072771.8,100.62085743621712,0.2069687324471072,-86.71970920000001,36.1071218,388.6147450371625
