,Unnamed: 0.1,Unnamed: 0,Time,Velocity,Acceleration,LongitudeGPS,LatitudeGPS,TrackID
0,0,10832,1615414399.9,22.29306020141872,-0.1689564016198009,-86.7231678,36.111787,392.5426918321816
5,5,10837,1615414400.4,22.29798263259937,0.0,-86.7231558,36.1117633,390.0
10,10,10842,1615414400.9,22.250759379266583,-0.1639511466430606,-86.72313929999999,36.111744,391.1422084741071
15,15,10847,1615414401.4,22.231213199894963,0.0,-86.7231302,36.11172620000001,391.42276371180856
20,20,10852,1615414401.9,22.17296399625493,0.0,-86.7231213,36.1117063,392.0
25,25,10857,1615414402.4,21.971990444702804,-0.2485023841868692,-86.7231053,36.1116802,391.25535609896826
30,30,10862,1615414402.9,21.65236230588761,-0.19,-86.7230917,36.1116547,392.0
35,35,10867,1615414403.4,21.326757963899453,-0.39,-86.7230778,36.1116297,392.0
40,40,10872,1615414403.9,20.97669701669556,-0.39,-86.7230632,36.1116035,390.0929387611338
45,45,10877,1615414404.4,20.65047438330171,-0.19,-86.7230483,36.111577200000006,391.2491377997122
50,50,10882,1615414404.9,20.2086803684922,-0.53292267485425,-86.7230333,36.1115508,392.0
55,55,10887,1615414405.4,19.520439178729003,-0.78,-86.72301879999999,36.111526,392.0
60,60,10892,1615414405.9,18.7648245742538,-0.6373472839116132,-86.7230038,36.111501,392.0
65,65,10897,1615414406.4,18.05031459979196,-0.7258853946528296,-86.7229893,36.1114773,390.4298074045701
70,70,10902,1615414406.9,17.186029401095514,-0.59,-86.7229755,36.111454,392.0
75,75,10907,1615414407.4,16.366404800130617,-0.78,-86.7229625,36.1114313,391.2532739654269
80,80,10912,1615414407.9,15.580757208524863,-0.78,-86.72295,36.1114095,390.0
85,85,10917,1615414408.4,14.847518053763146,-0.59,-86.722938,36.111389,390.0
90,90,10922,1615414408.9,14.093902686550331,-0.5950934826537742,-86.7229267,36.1113695,391.93898163356727
95,95,10927,1615414409.4,13.34104527549482,-0.6953742288226384,-86.722916,36.1113512,392.0
100,100,10932,1615414409.9,12.71,-0.59,-86.7229062,36.1113338,390.0
105,105,10937,1615414410.4,12.40071772617595,-0.19,-86.7228972,36.1113172,390.0
110,110,10942,1615414410.9,12.328785432837996,0.0,-86.7228882,36.1113015,390.0
115,115,10947,1615414411.4,12.377353242206556,0.0,-86.7228798,36.1112865,392.0
120,120,10952,1615414411.9,12.422879822254291,0.0,-86.7228713,36.1112718,390.0
125,125,10957,1615414412.4,12.487636018056545,0.0,-86.722863,36.1112573,390.5771043997268
130,130,10962,1615414412.9,12.539528469428438,0.0,-86.72285450000001,36.111242700000005,391.9438551892359
135,135,10967,1615414413.4,12.561856900411644,0.0,-86.72284599999999,36.1112282,392.0
140,140,10972,1615414413.9,12.426923759702364,-0.1526289745591893,-86.72283730000001,36.1112133,391.9664528246692
145,145,10977,1615414414.4,12.095163519537222,-0.39,-86.72282870000001,36.1111987,390.0
150,150,10982,1615414414.9,11.553062321243146,-0.59,-86.72282,36.111184,391.4337635511421
155,155,10987,1615414415.4,10.961379555005731,-0.59,-86.7228115,36.111169700000005,391.4138396250317
160,160,10992,1615414415.9,10.35953658943157,-0.59,-86.7228033,36.111155700000005,392.0
165,165,10997,1615414416.4,9.831923655325964,-0.39,-86.72279549999999,36.1111423,391.5654665746256
170,170,11002,1615414416.9,9.56383446667962,-0.19,-86.7227882,36.11112979999999,390.0
175,175,11007,1615414417.4,9.4,-0.1863885090174842,-86.72278100000001,36.1111178,390.74922318130496
180,180,11012,1615414417.9,9.426128766641687,0.0,-86.7227743,36.1111065,390.0
185,185,11017,1615414418.4,9.589190858554664,0.19,-86.7227677,36.111095500000005,392.0
190,190,11022,1615414418.9,9.9,0.39,-86.72276120000001,36.1110845,392.0
195,195,11027,1615414419.4,10.321518045641902,0.2576283379157094,-86.7227547,36.1110735,390.0
200,200,11032,1615414419.9,10.685808270332608,0.39,-86.7227478,36.11106229999999,390.0
205,205,11037,1615414420.4,10.967241604361222,0.19,-86.7227408,36.11105070000001,391.2494968713165
210,210,11042,1615414420.9,10.84797872236305,-0.19,-86.72273349999999,36.1110387,392.0
215,215,11047,1615414421.4,10.68,0.0,-86.72272579999999,36.111026200000005,391.0601019347108
220,220,11052,1615414421.9,10.500453020909369,0.0,-86.7227182,36.1110135,390.0
225,225,11057,1615414422.4,10.367590316775637,-0.19,-86.72271070000001,36.1110008,390.0
230,230,11062,1615414422.9,10.225614167438572,0.0,-86.7227032,36.11098870000001,392.0
235,235,11067,1615414423.4,10.002363294600135,-0.0070196560888797,-86.7226958,36.1109763,390.43469946501
240,240,11072,1615414423.9,9.813998740087452,-0.19,-86.72268869999999,36.1109645,392.0
245,245,11077,1615414424.4,9.629575996055776,-0.167809240781319,-86.72268170000001,36.1109527,390.0
250,250,11082,1615414424.9,9.434420538555456,-0.1408354653641896,-86.7226747,36.1109412,390.0
255,255,11087,1615414425.4,9.29611877048791,0.0,-86.7226677,36.1109298,390.0
260,260,11092,1615414425.9,9.060131858783496,-0.1740888876483942,-86.722661,36.110918700000006,390.0
265,265,11097,1615414426.4,8.846765768693956,-0.19,-86.7226545,36.1109078,392.0
